Sample 1, Number of iterations = 512, Error = 0.00928356
Sample 2, Number of iterations = 512, Error = 0.00742673
Sample 3, Number of iterations = 512, Error = 0.00777395
Sample 4, Number of iterations = 512, Error = 0.00712409
Sample 5, Number of iterations = 512, Error = 0.00575131
Sample 6, Number of iterations = 512, Error = 0.00506543
Sample 7, Number of iterations = 512, Error = 0.00561858
